Qts	fb/fs	vas/vab	f3 / fs	Peak-db
0.1000	3.6841	35.4793	5.0715	0
0.1100	3.3494	29.1286	4.6004	0
0.1200	3.0732	24.2984	4.2069	0
0.1300	2.8398	20.5392	3.8730	0
0.1400	2.6400	17.5563	3.5859	0
0.1500	2.4570	15.1498	3.3362	0
0.1600	2.3158	13.1802	3.1169	0
0.1700	2.1826	11.5478	2.9225	0
0.1800	2.0644	10.1797	2.7488	0
0.1900	1.9589	9.0218	2.5926	0
0.2000	1.8640	8.0331	2.4512	0
0.2100	1.7784	7.1822	2.3225	0
0.2200	1.7007	6.4446	2.2045	0
0.2300	1.6299	5.8010	2.0960	0
0.2400	1.5652	5.2361	1.9956	0
0.2500	1.5058	4.7375	1.9023	0
0.2600	1.4512	4.2952	1.8153	0
0.2700	1.4007	3.9011	1.7338	0
0.2800	1.3540	3.5484	1.6471	0
0.2900	1.3106	3.2314	1.5846	0
0.3000	1.2703	2.9455	1.5159	0
0.3100	1.2327	2.6867	1.4504	0
0.3200	1.1976	2.4517	1.3880	0
0.3300	1.1648	2.2376	1.3281	0
0.3400	1.1341	2.0420	1.2705	0
0.3500	1.1052	1.8629	1.2160	0
0.3600	1.0781	1.6983	1.1615	0
0.3700	1.0526	1.5468	1.1099	0
0.3800	1.0286	1.4070	1.0602	0
0.3900	1.0059	1.2777	1.0125	0
0.4000	0.9845	1.1579	0.9672	0
0.4100	0.9643	1.0466	0.9245	0.02
0.4200	0.9452	0.9430	0.8849	0.08
0.4300	0.9272	0.8464	0.8488	0.21
0.4400	0.9101	0.7562	0.8162	0.43
0.4500	0.8939	0.6719	0.7872	0.76
0.4600	0.8786	0.5928	0.7618	1.18
0.4700	0.8641	0.5185	0.7395	1.72
0.4800	0.8503	0.4488	0.7202	2.36
0.4900	0.8373	0.3830	0.7034	3.13
0.5000	0.8249	0.3211	0.6889	4.04
0.5100	0.8132	0.2625	0.6764	5.09
0.5200	0.8210	0.2072	0.6656	6.33
0.5300	0.7916	0.1547	0.6563	7.79
0.5400	0.7817	0.1050	0.6483	9.56
0.5500	0.7723	0.0577	0.6416	11.80
0.5600	0.7635	0.0128	0.6359	14.70
