Qts	fb/fs	vas/vab	f3 / fs	Peak-db
0.1000	4.3303	31.2904	5.6709	0
0.1100	3.9371	25.6824	5.1456	0
0.1200	3.6096	21.4169	4.7069	0
0.1300	3.3325	18.0974	4.3348	0
0.1400	3.0950	15.4635	4.0150	0
0.1500	2.8892	13.3386	3.7371	0
0.1600	2.7198	11.5994	3.4932	0
0.1700	2.5504	10.1581	3.2772	0
0.1800	2.4092	8.9502	3.0844	0
0.1900	2.2830	7.9280	2.9113	0
0.2000	2.1694	7.0552	2.7548	0
0.2100	2.0666	6.3041	2.6125	0
0.2200	1.9733	5.6531	2.4824	0
0.2300	1.8881	5.0851	2.3630	0
0.2400	1.8100	4.5866	2.2528	0
0.2500	1.7381	4.1467	2.1508	0
0.2600	1.6719	3.7566	2.0559	0
0.2700	1.6105	3.4090	1.9674	0
0.2800	1.5536	3.0980	1.8845	0
0.2900	1.5006	2.8186	1.8065	0
0.3000	1.4512	2.5666	1.7331	0
0.3100	1.4050	2.3386	1.6636	0
0.3200	1.3617	2.1317	1.5978	0
0.3300	1.3210	1.9432	1.5351	0
0.3400	1.2828	1.7712	1.4754	0
0.3500	1.2467	1.6136	1.4183	0
0.3600	1.2127	1.4690	1.3636	0
0.3700	1.1806	1.3360	1.3110	0
0.3800	1.1501	1.2133	1.2605	0
0.3900	1.1213	1.0999	1.2118	0
0.4000	1.0939	0.9949	1.1649	0
0.4100	1.0679	0.8974	1.1198	0
0.4200	1.0431	0.8069	1.0763	0
0.4300	1.0195	0.7225	1.0346	0
0.4400	0.9970	0.6439	0.9947	0
0.4500	0.9755	0.5704	0.9568	0
0.4600	0.9550	0.5016	0.9210	0.02
0.4700	0.9354	0.4392	0.8875	0.06
0.4800	0.9166	0.3767	0.8563	0.14
0.4900	0.8986	0.3199	0.8276	0.27
0.5000	0.8813	0.2665	0.8014	0.45
0.5100	0.8647	0.2161	0.7775	0.70
0.5200	0.8488	0.1686	0.7558	1.00
0.5300	0.8336	0.1238	0.7363	1.36
0.5400	0.8189	0.0814	0.7186	1.77
0.5500	0.8047	0.0413	0.7027	2.25
0.5600	0.7911	0.0033	0.6883	2.78
