Qts	fb/fs	vas/vab	f3 / fs	Peak-db
0.2500	1.0338	3.8961	2.3949	0
0.2600	1.0534	3.6755	2.2282	0
0.2700	1.0703	3.4551	2.0784	0
0.2800	1.0842	3.2360	1.9439	0
0.2900	1.0951	3.0193	1.8229	0
0.3000	1.1028	2.8062	1.7137	0
0.3100	1.1073	2.5977	1.6149	0
0.3200	1.1086	2.3952	1.5251	0
0.3300	1.1065	2.1997	1.4431	0
0.3400	1.1012	2.0125	1.3679	0
0.3500	1.0926	1.8347	1.2986	0
0.3600	1.0810	1.6672	1.2345	0
0.3700	1.0667	1.5109	1.1751	0
0.3800	1.0498	1.3665	1.1200	0
0.3900	1.0309	1.2343	1.0689	0
0.4000	1.0103	1.1146	1.0215	0
0.4100	0.9886	1.0070	0.9777	0
0.4200	0.9662	0.9113	0.9373	0
0.4300	0.9436	0.8266	0.9001	0
0.4400	0.9212	0.7521	0.8660	0
0.4500	0.8992	0.6868	0.8348	0.01
0.4600	0.8780	0.6297	0.8064	0.01
0.4700	0.8578	0.5798	0.7804	0.02
0.4800	0.8385	0.5361	0.7567	0.03
0.4900	0.8203	0.4978	0.7351	0.05
0.5000	0.8031	0.4642	0.7155	0.07
0.5100	0.7870	0.4345	0.6975	0.09
0.5200	0.7719	0.4083	0.6810	0.12
0.5300	0.7578	0.3849	0.6659	0.15
0.5400	0.7445	0.3640	0.6526	0.19
0.5500	0.7321	0.3453	0.6393	0.23
0.5600	0.7205	0.3284	0.6275	0.27
0.5700	0.7096	0.3131	0.6166	0.31
0.5800	0.6993	0.2992	0.6065	0.36
0.5900	0.6896	0.2865	0.5971	0.41
0.6000	0.6805	0.2749	0.5883	0.46
0.6100	0.6719	0.2641	0.5802	0.51
0.6200	0.6638	0.2542	0.5726	0.57
0.6300	0.6561	0.2449	0.5654	0.63
0.6400	0.6488	0.2363	0.5587	0.68
0.6500	0.6418	0.2283	0.5524	0.74
0.6600	0.6353	0.2208	0.5465	0.80
0.6700	0.6289	0.2136	0.5409	0.89
0.6800	0.6229	0.2069	0.5355	0.92
0.6900	0.6171	0.2006	0.5305	0.98
0.7000	0.6116	0.1946	0.5258	1.05
