Qts	fb/fs	vas/vab	f3 / fs	Peak-db
0.2500	1.0420	4.0890	2.3097	0
0.2600	1.0601	3.8500	2.1477	0
0.2700	1.0751	3.6119	1.9970	0
0.2800	1.0871	3.3757	1.8647	0
0.2900	1.0958	3.1429	1.7460	0
0.3000	1.1011	2.9147	1.6391	0
0.3100	1.1031	2.6924	1.5426	0
0.3200	1.1016	2.4774	1.4549	0
0.3300	1.0966	2.2711	1.3749	0
0.3400	1.0884	2.0748	1.3016	0
0.3500	1.0769	1.8896	1.2342	0
0.3600	1.0626	1.7166	1.1720	0
0.3700	1.0456	1.5567	1.1146	0
0.3800	1.0265	1.4101	1.0615	0
0.3900	1.0058	1.2779	1.0125	0
0.4000	0.9840	1.1591	0.9675	0
0.4100	0.9615	1.0535	0.9262	0
0.4200	0.9390	0.9604	0.8884	0
0.4300	0.9167	0.8787	0.8539	0
0.4400	0.8951	0.8074	0.8226	0.01
0.4500	0.8744	0.7453	0.7942	0.02
0.4600	0.8547	0.6911	0.7684	0.03
0.4700	0.8361	0.6439	0.7451	0.05
0.4800	0.8187	0.6027	0.7239	0.07
0.4900	0.8025	0.5666	0.7047	0.09
0.5000	0.7873	0.5348	0.6873	0.12
0.5100	0.7732	0.5068	0.6714	0.16
0.5200	0.7601	0.4820	0.6569	0.20
0.5300	0.7479	0.4599	0.6437	0.24
0.5400	0.7366	0.4402	0.6315	0.29
0.5500	0.7260	0.4225	0.6204	0.34
0.5600	0.7162	0.4065	0.6101	0.39
0.5700	0.7070	0.3921	0.6006	0.45
0.5800	0.6984	0.3789	0.5919	0.51
0.5900	0.6903	0.3670	0.5838	0.57
0.6000	0.6828	0.3560	0.5762	0.63
0.6100	0.6757	0.3459	0.5692	0.70
0.6200	0.6690	0.3366	0.5626	0.77
0.6300	0.6627	0.3281	0.5565	0.83
0.6400	0.6567	0.3201	0.5508	0.90
0.6500	0.6511	0.3127	0.5454	0.97
0.6600	0.6458	0.3058	0.5403	1.00
0.6700	0.6408	0.2994	0.5355	1.12
0.6800	0.6360	0.2933	0.5311	1.19
0.6900	0.6314	0.2876	0.5268	1.26
0.7000	0.6271	0.2823	0.5228	1.33
